Category,Subtopics,Topic #,Label
Food,0_delicious_eating_restaurant_dish,0,Delicious Dishes and Dining
Food,13_quail egg_egg yolk_chicken egg_eggs quail,13,Balut and other Eggs
Food,19_halohalo_ube ice cream_ice candy_yum,19,Philippine Halo-Halo Dessert
Food,26_local coffee_coffee shops_cafe_coffee shop,26,Local Coffee and Coffee Shops
Food,34_squid squid_squid squid squid_squid_stew,34,Squid
Food,63_pule ti_pule pule_groufie_calamansi,63,Filipino Food
Food,65_hungry hungry hungry_hungry hungry_hungry_tasty,65,Satisfying Hunger with Delicious Food
Food,81_producer coconuts_coconuts producer coconuts_coconuts producer_coconut fresh,81,Coconut Varieties and Production
Food,89_fruits mango_mangosteen_fruit fresh_mangoes,89,Mango Fruit
Food,109_mango_mango mangoes_mangoes_song,109,Mango Fruit
Food,116_como esta_chicken_chicken ball hot_chicken balls chicken,116,Chicken & its Specific Related Dishes 
Food,119_salido_bean mung bean_mung_vice bucket,119,Common Filipino Dishes
Travel,9_topics taiwan_taiwan_taiwan staying_taiwan taiwan,9,Travel to Taiwan & Destinations
Travel,15_walk beach_beach_beach beach beach_beach beach,15,Walking by the Beach Experience
Travel,17_filipinawives_filipina couples_filipina_tourist visas,17,Filipino Partner & Tourist Visas
Travel,18_sagada_adore adore_buried_grave,18,Sagada Burial Caves & Hanging Coffins
Travel,20_tourist visa_bureau immigration_visa_visa extension,20,Travel Immigration & Visa Processes
Travel,21_rice terraces smartly_eighth rice terraces_rice terraces_terraces eighth rice,21,Banaue Rice Terraces
Travel,30_considered rich_immigration_rich money rich_rich rich rich,30,Wealthy & Rich Tourists Travelling
Travel,38_nino cathedral_basilica_cathedrals_cathedral,38,Basilicas and Cathedrals in the Philippines
Travel,43_visiting retiring beach_tips visiting retiring_retiring beach jet_retiring beach,43,Trip to a Beach Destination
Travel,54_manila cathedral church_manila cathedral_churches_catholic church,54,Manila Cathedral
Travel,55_restaurant baguio_tuguguru tuguguru_baguio_bel church baguio,55,Food & Destination in Baguio
Travel,58_pool bar pool_bar pool_pool bar_kananga kananga,58,Drinks & Relaxation by the Pool
Travel,61_bureau immigration_immigration_visa immigration_visa,61,Visa & Bureau of Immigration
Travel,64_bgc modern manila_manila_animals_modern manila,64,"Bonifacio Global City, Taguig, Metro Manila"
Travel,73_binondo chinatown manila_chinatown manila_binondo chinatown_fort san pedro,73,Chinatown Manila
Travel,75_wifi island_wifi_speed wifi_tourist spot,75,Internet Connectivity in Tourist Destinations
Travel,77_fun cemetery_monument manila_celebrate_celebrate dead,77,Rizal Park Monument & Manila Cemetery
Travel,90_started traveling_trips_trip_talking tourists,90,Experiences of a First Time Traveler
Travel,91_manila surrounding cities_manila population_capital manila surrounding_manila largest,91,Metro Manila as the National Capital Region
Travel,92_shopping malls_shopping malls shopping_malls shopping_street markets,92,Going to Shopping Malls and Street Markets in Manila
Travel,93_sabu_ride_transport_beach,93,Island and Beach Travel Experiences
Travel,106_bohol chocolate hills_chocolate hills atv_chocolate hills_chocolate chocolate hills,106,Chocolate Hills in Bohol
Travel,110_experience culture shock_biggest culture shock_culture shock_culture shock culture,110,Experiencing Culture Shock
Travel,112_traveling cheap transports_cheap transports_transports cheap_cheap transports cheap,112,Cheap Transportation while Travelling
